-- Query: 27253
-- Source: SQLStorm v1.0 query 7254

id	estRows	estCost	task	access object	operator info
Sort_71	29693475.25	1025148501238.27	root		tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc
└─Projection_73	29693475.25	13776967246.60	root		tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.customer.c_mktsegment, tpch_sf40.supplier.s_name, Column#132, Column#133
  └─HashJoin_76	29693475.25	13717699070.01	root		inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]
    ├─TableReader_327(Build)	320000.00	1506816226.02	root		MppVersion: 2, data:ExchangeSender_326
    │ └─ExchangeSender_326	320000.00	2950976452.04	mpp[tiflash]		ExchangeType: PassThrough
    │   └─Selection_228	320000.00	2950976452.04	mpp[tiflash]		le(Column#135, 5)
    │     └─Window_134	400000.00	2950016452.04	mpp[tiflash]		rank()->Column#135 over(order by Column#132 desc)
    │       └─Sort_133	400000.00	2950016452.04	mpp[tiflash]		Column#132:desc
    │         └─ExchangeReceiver_132	400000.00	2930531197.19	mpp[tiflash]		
    │           └─ExchangeSender_131	400000.00	2898131197.19	mpp[tiflash]		ExchangeType: PassThrough, Compression: FAST
    │             └─Projection_130	400000.00	2898131197.19	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#132, Column#133
    │               └─HashJoin_107	400000.00	2898111997.19	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]
    │                 ├─ExchangeReceiver_129(Build)	398784.00	2871368496.72	mpp[tiflash]		
    │                 │ └─ExchangeSender_128	398784.00	2804372784.72	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
    │                 │   └─Projection_124	398784.00	2804372784.72	mpp[tiflash]		Column#132, Column#133, tpch_sf40.supplier.s_suppkey
    │                 │     └─HashAgg_125	398784.00	2804358428.49	mpp[tiflash]		group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#136)->Column#132, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#133, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2
    │                 │       └─ExchangeReceiver_127	398784.00	2799483620.88	mpp[tiflash]		stream_count: 2
    │                 │         └─ExchangeSender_126	398784.00	2767182116.88	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2
    │                 │           └─HashAgg_110	398784.00	2767182116.88	mpp[tiflash]		group by:Column#144, Column#145, Column#146, funcs:sum(Column#143)->Column#136
    │                 │             └─Projection_331	32097576.63	3395578944.62	mpp[tiflash]		mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#143, tpch_sf40.supplier.s_suppkey->Column#144, tpch_sf40.supplier.s_name->Column#145, tpch_sf40.partsupp.ps_partkey->Column#146
    │                 │               └─Projection_123	32097576.63	2570719371.52	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost
    │                 │                 └─HashJoin_122	32097576.63	2568793516.92	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]
    │                 │                   ├─ExchangeReceiver_114(Build)	400000.00	71593247.67	mpp[tiflash]		
    │                 │                   │ └─ExchangeSender_113	400000.00	25093247.67	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
    │                 │                   │   └─TableFullScan_112	400000.00	25093247.67	mpp[tiflash]	table:s	keep order:false
    │                 │                   └─TableFullScan_115(Probe)	32000000.00	2445101935.92	mpp[tiflash]	table:ps	keep order:false
    │                 └─TableFullScan_108(Probe)	400000.00	25093247.67	mpp[tiflash]	table:s	keep order:false
    └─IndexJoin_142(Probe)	37004009.00	10326749297.65	root		inner join, inner:TableReader_139, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)
      ├─TableReader_219(Build)	9185839.02	5347378347.54	root		MppVersion: 2, data:ExchangeSender_218
      │ └─ExchangeSender_218	9185839.02	8694080955.98	mpp[tiflash]		ExchangeType: PassThrough
      │   └─Selection_153	9185839.02	8694080955.98	mpp[tiflash]		le(Column#87, 10), stream_count: 2
      │     └─Window_81	11482298.78	8666523438.92	mpp[tiflash]		row_number()->Column#87 over(partition by tpch_sf40.customer.c_mktsegment order by tpch_sf40.orders.o_orderdate desc, tpch_sf40.orders.o_totalprice desc rows between current row and current row), stream_count: 2
      │       └─Sort_95	11482298.78	8666523438.92	mpp[tiflash]		tpch_sf40.customer.c_mktsegment, tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc, stream_count: 2
      │         └─ExchangeReceiver_94	11482298.78	7967975062.43	mpp[tiflash]		stream_count: 2
      │           └─ExchangeSender_93	11482298.78	6923085873.62	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_mktsegment, collate: utf8mb4_bin], stream_count: 2
      │             └─Projection_83	11482298.78	6923085873.62	mpp[tiflash]		tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_mktsegment
      │               └─Projection_92	11482298.78	6922396935.69	mpp[tiflash]		tpch_sf40.customer.c_name, tpch_sf40.customer.c_mktsegment, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_custkey
      │                 └─HashJoin_84	11482298.78	6921570210.18	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2
      │                   ├─ExchangeReceiver_87(Build)	6000000.00	720720427.66	mpp[tiflash]		stream_count: 2
      │                   │ └─ExchangeSender_86	6000000.00	400140427.66	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2
      │                   │   └─TableFullScan_85	6000000.00	400140427.66	mpp[tiflash]	table:c	keep order:false
      │                   └─ExchangeReceiver_91(Probe)	11482298.78	6167535104.48	mpp[tiflash]		
      │                     └─ExchangeSender_90	11482298.78	4961893732.78	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]
      │                       └─Selection_89	11482298.78	4961893732.78	mpp[tiflash]		eq(tpch_sf40.orders.o_orderstatus, "F")
      │                         └─TableFullScan_88	23581872.33	4673893732.78	mpp[tiflash]	table:o	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), keep order:false
      └─TableReader_139(Probe)	9185839.02	198.24	root		data:TableRangeScan_138
        └─TableRangeScan_138	9185839.02	333.12	cop[tikv]	table:li	range: decided by [eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], keep order:false
