-- Query: 8060
-- Execution time: .106040646s

id	estRows	task	access object	operator info
Sort_97	24000000.00	root		tpch_sf40.region.r_name, Column#221:desc
└─Projection_101	24000000.00	root		tpch_sf40.region.r_name, tpch_sf40.customer.c_custkey, Column#221
  └─HashJoin_104	24000000.00	root		CARTESIAN inner join
    ├─TableReader_536(Build)	5.00	root		MppVersion: 2, data:ExchangeSender_535
    │ └─ExchangeSender_535	5.00	mpp[tiflash]		ExchangeType: PassThrough
    │   └─Projection_531	5.00	mpp[tiflash]		tpch_sf40.region.r_name, Column#225
    │     └─HashAgg_532	5.00	mpp[tiflash]		group by:tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:sum(Column#240)->Column#225, stream_count: 2
    │       └─ExchangeReceiver_534	5.00	mpp[tiflash]		stream_count: 2
    │         └─ExchangeSender_533	5.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2
    │           └─HashAgg_337	5.00	mpp[tiflash]		group by:tpch_sf40.region.r_name, funcs:count(1)->Column#240
    │             └─Projection_183	978350807.21	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey
    │               └─HashJoin_182	978350807.21	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2
    │                 ├─ExchangeReceiver_175(Build)	60000000.00	mpp[tiflash]		stream_count: 2
    │                 │ └─ExchangeSender_174	60000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2
    │                 │   └─TableFullScan_173	60000000.00	mpp[tiflash]	table:o	keep order:false
    │                 └─ExchangeReceiver_172(Probe)	971509138.84	mpp[tiflash]		
    │                   └─ExchangeSender_171	971509138.84	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]
    │                     └─Projection_170	971509138.84	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_partkey
    │                       └─HashJoin_141	971509138.84	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2
    │                         ├─ExchangeReceiver_166(Build)	32238981.05	mpp[tiflash]		stream_count: 2
    │                         │ └─ExchangeSender_165	32238981.05	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2
    │                         │   └─Projection_164	32238981.05	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_suppkey
    │                         │     └─HashJoin_142	32238981.05	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]
    │                         │       ├─ExchangeReceiver_163(Build)	8000000.00	mpp[tiflash]		
    │                         │       │ └─ExchangeSender_162	8000000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
    │                         │       │   └─TableFullScan_161	8000000.00	mpp[tiflash]	table:p	keep order:false
    │                         │       └─Projection_160(Probe)	32096613.71	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_suppkey
    │                         │         └─HashJoin_143	32096613.71	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2
    │                         │           ├─ExchangeReceiver_156(Build)	399988.00	mpp[tiflash]		stream_count: 2
    │                         │           │ └─ExchangeSender_155	399988.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2
    │                         │           │   └─Projection_154	399988.00	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey
    │                         │           │     └─HashJoin_144	399988.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]
    │                         │           │       ├─ExchangeReceiver_152(Build)	25.00	mpp[tiflash]		
    │                         │           │       │ └─ExchangeSender_151	25.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
    │                         │           │       │   └─Projection_150	25.00	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey
    │                         │           │       │     └─HashJoin_145	25.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]
    │                         │           │       │       ├─ExchangeReceiver_148(Build)	5.00	mpp[tiflash]		
    │                         │           │       │       │ └─ExchangeSender_147	5.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
    │                         │           │       │       │   └─TableFullScan_146	5.00	mpp[tiflash]	table:r	keep order:false
    │                         │           │       │       └─TableFullScan_149(Probe)	25.00	mpp[tiflash]	table:n	keep order:false
    │                         │           │       └─TableFullScan_153(Probe)	400000.00	mpp[tiflash]	table:s	keep order:false
    │                         │           └─ExchangeReceiver_159(Probe)	32000000.00	mpp[tiflash]		
    │                         │             └─ExchangeSender_158	32000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary]
    │                         │               └─TableFullScan_157	32000000.00	mpp[tiflash]	table:ps	keep order:false
    │                         └─ExchangeReceiver_169(Probe)	240012290.00	mpp[tiflash]		
    │                           └─ExchangeSender_168	240012290.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]
    │                             └─TableFullScan_167	240012290.00	mpp[tiflash]	table:l	keep order:false
    └─TableReader_332(Probe)	4800000.00	root		MppVersion: 2, data:ExchangeSender_331
      └─ExchangeSender_331	4800000.00	mpp[tiflash]		ExchangeType: PassThrough
        └─Selection_194	4800000.00	mpp[tiflash]		le(Column#223, 10)
          └─Window_107	6000000.00	mpp[tiflash]		rank()->Column#223 over(order by Column#221 desc)
            └─Sort_137	6000000.00	mpp[tiflash]		Column#221:desc
              └─ExchangeReceiver_136	6000000.00	mpp[tiflash]		
                └─ExchangeSender_135	6000000.00	mpp[tiflash]		ExchangeType: PassThrough, Compression: FAST
                  └─Projection_131	6000000.00	mpp[tiflash]		Column#221, tpch_sf40.customer.c_custkey
                    └─HashAgg_132	6000000.00	mpp[tiflash]		group by:tpch_sf40.customer.c_custkey, funcs:sum(Column#226)->Column#221, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, stream_count: 2
                      └─ExchangeReceiver_134	6000000.00	mpp[tiflash]		stream_count: 2
                        └─ExchangeSender_133	6000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2
                          └─HashAgg_109	6000000.00	mpp[tiflash]		group by:Column#244, funcs:sum(Column#243)->Column#226
                            └─Projection_552	241702530.91	mpp[tiflash]		mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#243, tpch_sf40.customer.c_custkey->Column#244
                              └─Projection_130	241702530.91	mpp[tiflash]		tpch_sf40.customer.c_custkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey
                                └─HashJoin_129	241702530.91	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2
                                  ├─ExchangeReceiver_118(Build)	60000000.00	mpp[tiflash]		stream_count: 2
                                  │ └─ExchangeSender_117	60000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2
                                  │   └─Projection_116	60000000.00	mpp[tiflash]		tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey
                                  │     └─HashJoin_111	60000000.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]
                                  │       ├─ExchangeReceiver_114(Build)	6000000.00	mpp[tiflash]		
                                  │       │ └─ExchangeSender_113	6000000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                                  │       │   └─TableFullScan_112	6000000.00	mpp[tiflash]	table:c	keep order:false
                                  │       └─TableFullScan_115(Probe)	60000000.00	mpp[tiflash]	table:o	keep order:false
                                  └─ExchangeReceiver_121(Probe)	240012290.00	mpp[tiflash]		
                                    └─ExchangeSender_120	240012290.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]
                                      └─TableFullScan_119	240012290.00	mpp[tiflash]	table:l	keep order:false
