-- Query: 486
-- Execution time: 8.313416603s

id	estRows	task	access object	operator info
Sort_439	0.00	root		Column#231:desc, Column#273:desc
└─TableReader_657	0.00	root		MppVersion: 2, data:ExchangeSender_656
  └─ExchangeSender_656	0.00	mpp[tiflash]		ExchangeType: PassThrough
    └─Projection_655	0.00	mpp[tiflash]		tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, coalesce(Column#215, 0)->Column#272, coalesce(Column#216, 0)->Column#273, Column#231
      └─Projection_652	0.00	mpp[tiflash]		tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#215, Column#216, Column#231
        └─HashJoin_648	0.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.customer.c_custkey)]
          ├─ExchangeReceiver_467(Build)	0.00	mpp[tiflash]		
          │ └─ExchangeSender_466	0.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
          │   └─Projection_465	0.00	mpp[tiflash]		tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#231
          │     └─HashJoin_452	0.00	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.orders.o_orderkey)], stream_count: 2
          │       ├─ExchangeReceiver_456(Build)	0.00	mpp[tiflash]		stream_count: 2
          │       │ └─ExchangeSender_455	0.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2
          │       │   └─TableFullScan_453	0.00	mpp[tiflash]	table:p	pushed down filter:gt(tpch_sf40.part.p_retailprice, NULL), keep order:false, stats:partial[p_retailprice:unInitialized, ID 177:unInitialized]
          │       └─ExchangeReceiver_464(Probe)	9121022.14	mpp[tiflash]		
          │         └─ExchangeSender_463	9121022.14	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]
          │           └─Window_457	9121022.14	mpp[tiflash]		rank()->Column#231 over(partition by tpch_sf40.orders.o_orderdate order by tpch_sf40.orders.o_totalprice desc), stream_count: 2
