-- Query: 22951
-- Execution time: 7.912257359s

id	estRows	task	access object	operator info
Projection_253	10.00	root		tpch_sf40.region.r_name, Column#234->Column#238, Column#235->Column#239, Column#236->Column#240, Column#171->Column#241
└─TopN_257	10.00	root		Column#236:desc, Column#235, offset:5, count:10
  └─TableReader_712	15.00	root		MppVersion: 2, data:ExchangeSender_711
    └─ExchangeSender_711	15.00	mpp[tiflash]		ExchangeType: PassThrough
      └─TopN_710	15.00	mpp[tiflash]		Column#236:desc, Column#235, offset:0, count:15
        └─Selection_709	20.00	mpp[tiflash]		gt(Column#234, 5)
          └─Projection_703	25.00	mpp[tiflash]		Column#234, div(Column#235, cast(case(eq(Column#275, 0), 1, Column#275), decimal(20,0) BINARY))->Column#235, Column#236, tpch_sf40.region.r_name, Column#171
            └─HashAgg_704	25.00	mpp[tiflash]		group by:Column#171, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#234, funcs:sum(Column#276)->Column#275, funcs:sum(Column#277)->Column#235, funcs:sum(Column#278)->Column#236, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(Column#171)->Column#171, stream_count: 2
              └─ExchangeReceiver_706	25.00	mpp[tiflash]		stream_count: 2
                └─ExchangeSender_705	25.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], [name: Column#171, collate: binary], stream_count: 2
                  └─HashAgg_701	25.00	mpp[tiflash]		group by:Column#171, tpch_sf40.partsupp.ps_partkey, tpch_sf40.region.r_name, funcs:count(Column#135)->Column#276, funcs:sum(Column#135)->Column#277, funcs:sum(Column#157)->Column#278
                    └─Projection_690	32096613.71	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.partsupp.ps_partkey, Column#135, Column#157, Column#171
                      └─Projection_680	32096613.71	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.partsupp.ps_partkey, Column#157, Column#171, Column#135, tpch_sf40.supplier.s_suppkey
                        └─HashJoin_679	32096613.71	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]
                          ├─Projection_347(Build)	398784.00	mpp[tiflash]		Column#135, tpch_sf40.supplier.s_suppkey
                          │ └─HashAgg_348	398784.00	mpp[tiflash]		group by:tpch_sf40.supplier.s_suppkey, funcs:sum(Column#246)->Column#135, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2
                          │   └─ExchangeReceiver_350	398784.00	mpp[tiflash]		stream_count: 2
                          │     └─ExchangeSender_349	398784.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2
                          │       └─HashAgg_328	398784.00	mpp[tiflash]		group by:Column#282, funcs:sum(Column#281)->Column#246
                          │         └─Projection_715	32239948.24	mpp[tiflash]		mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#281, tpch_sf40.supplier.s_suppkey->Column#282
                          │           └─Projection_346	32239948.24	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost
                          │             └─HashJoin_345	32239948.24	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]
                          │               ├─ExchangeReceiver_340(Build)	8000000.00	mpp[tiflash]		
                          │               │ └─ExchangeSender_339	8000000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                          │               │   └─TableFullScan_338	8000000.00	mpp[tiflash]	table:p	keep order:false
                          │               └─Projection_337(Probe)	32097576.63	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost
                          │                 └─HashJoin_332	32097576.63	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]
                          │                   ├─ExchangeReceiver_335(Build)	400000.00	mpp[tiflash]		
                          │                   │ └─ExchangeSender_334	400000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                          │                   │   └─TableFullScan_333	400000.00	mpp[tiflash]	table:s	keep order:false
                          │                   └─TableFullScan_336(Probe)	32000000.00	mpp[tiflash]	table:ps	keep order:false
                          └─ExchangeReceiver_326(Probe)	32096613.71	mpp[tiflash]		
                            └─ExchangeSender_325	32096613.71	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary]
                              └─Projection_324	32096613.71	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey, Column#157, Column#171, tpch_sf40.region.r_regionkey
                                └─HashJoin_272	32096613.71	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]
                                  ├─ExchangeReceiver_323(Build)	25.00	mpp[tiflash]		
                                  │ └─ExchangeSender_322	25.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                                  │   └─Projection_318	25.00	mpp[tiflash]		Column#171, tpch_sf40.nation.n_name
                                  │     └─HashAgg_319	25.00	mpp[tiflash]		group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#171, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2
                                  │       └─ExchangeReceiver_321	25.00	mpp[tiflash]		stream_count: 2
                                  │         └─ExchangeSender_320	25.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2
                                  │           └─HashAgg_304	25.00	mpp[tiflash]		group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, 
                                  │             └─Projection_317	399988.00	mpp[tiflash]		tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey
                                  │               └─HashJoin_316	399988.00	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]
                                  │                 ├─ExchangeReceiver_309(Build)	400000.00	mpp[tiflash]		
                                  │                 │ └─ExchangeSender_308	400000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                                  │                 │   └─TableFullScan_307	400000.00	mpp[tiflash]	table:s	keep order:false
                                  │                 └─TableFullScan_306(Probe)	25.00	mpp[tiflash]	table:n	keep order:false
                                  └─Projection_302(Probe)	32096613.71	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey, Column#157, tpch_sf40.region.r_regionkey
                                    └─HashJoin_273	32096613.71	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)], stream_count: 2
                                      ├─ExchangeReceiver_276(Build)	5.00	mpp[tiflash]		stream_count: 2
                                      │ └─ExchangeSender_275	5.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_regionkey, collate: binary], stream_count: 2
                                      │   └─TableFullScan_274	5.00	mpp[tiflash]	table:r	keep order:false
                                      └─ExchangeReceiver_301(Probe)	32096613.71	mpp[tiflash]		
                                        └─ExchangeSender_300	32096613.71	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_regionkey, collate: binary]
                                          └─Projection_299	32096613.71	mpp[tiflash]		tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey, tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey, Column#157, tpch_sf40.nation.n_nationkey
                                            └─HashJoin_277	32096613.71	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)], stream_count: 2
                                              ├─ExchangeReceiver_280(Build)	25.00	mpp[tiflash]		stream_count: 2
                                              │ └─ExchangeSender_279	25.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], stream_count: 2
                                              │   └─TableFullScan_278	25.00	mpp[tiflash]	table:n	keep order:false
                                              └─ExchangeReceiver_298(Probe)	32097576.63	mpp[tiflash]		
                                                └─ExchangeSender_297	32097576.63	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary]
                                                  └─Projection_296	32097576.63	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_nationkey, tpch_sf40.partsupp.ps_partkey, Column#157
                                                    └─HashJoin_281	32097576.63	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2
                                                      ├─ExchangeReceiver_284(Build)	400000.00	mpp[tiflash]		stream_count: 2
                                                      │ └─ExchangeSender_283	400000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2
                                                      │   └─TableFullScan_282	400000.00	mpp[tiflash]	table:s	keep order:false
                                                      └─ExchangeReceiver_295(Probe)	32000000.00	mpp[tiflash]		
                                                        └─ExchangeSender_294	32000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary]
                                                          └─Projection_293	32000000.00	mpp[tiflash]		tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_suppkey, Column#157
                                                            └─HashJoin_285	32000000.00	mpp[tiflash]		left outer join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)]
                                                              ├─ExchangeReceiver_292(Build)	1.00	mpp[tiflash]		
                                                              │ └─ExchangeSender_291	1.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
                                                              │   └─Projection_288	1.00	mpp[tiflash]		tpch_sf40.lineitem.l_partkey, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#157
                                                              │     └─TableFullScan_289	1.00	mpp[tiflash]	table:l	pushed down filter:gt(tpch_sf40.lineitem.l_discount, 0.1), keep order:false
                                                              └─TableFullScan_286(Probe)	32000000.00	mpp[tiflash]	table:ps	keep order:false
