-- Query: 17919
-- Execution time: .106249212s

id	estRows	task	access object	operator info
Sort_5	3.00	root		tpch_sf40.lineitem.l_returnflag, tpch_sf40.lineitem.l_linestatus
└─TableReader_48	3.00	root		MppVersion: 2, data:ExchangeSender_47
  └─ExchangeSender_47	3.00	mpp[tiflash]		ExchangeType: PassThrough
    └─Projection_8	3.00	mpp[tiflash]		tpch_sf40.lineitem.l_returnflag, tpch_sf40.lineitem.l_linestatus, Column#17, Column#18
      └─Projection_43	3.00	mpp[tiflash]		Column#17, Column#18, tpch_sf40.lineitem.l_returnflag, tpch_sf40.lineitem.l_linestatus
        └─HashAgg_44	3.00	mpp[tiflash]		group by:tpch_sf40.lineitem.l_linestatus, tpch_sf40.lineitem.l_returnflag, funcs:sum(Column#31)->Column#17, funcs:sum(Column#32)->Column#18, funcs:firstrow(tpch_sf40.lineitem.l_returnflag)->tpch_sf40.lineitem.l_returnflag, funcs:firstrow(tpch_sf40.lineitem.l_linestatus)->tpch_sf40.lineitem.l_linestatus, stream_count: 2
          └─ExchangeReceiver_46	3.00	mpp[tiflash]		stream_count: 2
            └─ExchangeSender_45	3.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_returnflag, collate: utf8mb4_bin], [name: tpch_sf40.lineitem.l_linestatus, collate: utf8mb4_bin], stream_count: 2
              └─HashAgg_41	3.00	mpp[tiflash]		group by:tpch_sf40.lineitem.l_linestatus, tpch_sf40.lineitem.l_returnflag, funcs:sum(tpch_sf40.lineitem.l_quantity)->Column#31, funcs:sum(tpch_sf40.lineitem.l_extendedprice)->Column#32
                └─TableFullScan_30	240012290.00	mpp[tiflash]	table:lineitem	keep order:false
