-- Query: 7660
-- Execution time: 2.308363453s

id	estRows	task	access object	operator info
Projection_254	10.00	root		tpch_sf40.supplier.s_name, Column#201->Column#204, Column#202->Column#205, Column#121->Column#206
└─Projection_512	10.00	root		tpch_sf40.supplier.s_name, Column#201, Column#202, Column#121, Column#170
  └─Sort_255	10.00	root		Column#121:desc, Column#227:desc
    └─Projection_513	10.00	root		tpch_sf40.supplier.s_name, Column#201, Column#202, Column#121, Column#170, coalesce(Column#170, 0)->Column#227
      └─Projection_256	10.00	root		tpch_sf40.supplier.s_name, coalesce(Column#169, 0)->Column#201, coalesce(Column#170, 0)->Column#202, Column#121, Column#170
        └─Projection_257	10.00	root		tpch_sf40.supplier.s_name, Column#121, Column#169, Column#170
          └─HashJoin_259	10.00	root		left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)]
            ├─TopN_263(Build)	10.00	root		Column#121:desc, offset:0, count:10
            │ └─TableReader_413	10.00	root		MppVersion: 2, data:ExchangeSender_412
            │   └─ExchangeSender_412	10.00	mpp[tiflash]		ExchangeType: PassThrough
            │     └─TopN_411	10.00	mpp[tiflash]		Column#121:desc, offset:0, count:10
            │       └─Projection_410	400000.00	mpp[tiflash]		Column#121, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name
            │         └─Projection_407	400000.00	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#121
            │           └─HashJoin_406	400000.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]
            │             ├─ExchangeReceiver_304(Build)	398784.00	mpp[tiflash]		
            │             │ └─ExchangeSender_303	398784.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
            │             │   └─Projection_299	398784.00	mpp[tiflash]		Column#121, tpch_sf40.supplier.s_suppkey
            │             │     └─HashAgg_300	398784.00	mpp[tiflash]		group by:tpch_sf40.supplier.s_suppkey, funcs:sum(Column#209)->Column#121, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2
            │             │       └─ExchangeReceiver_302	398784.00	mpp[tiflash]		stream_count: 2
            │             │         └─ExchangeSender_301	398784.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2
            │             │           └─HashAgg_285	398784.00	mpp[tiflash]		group by:Column#226, funcs:sum(Column#225)->Column#209
            │             │             └─Projection_511	32097576.63	mpp[tiflash]		mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#225, tpch_sf40.supplier.s_suppkey->Column#226
            │             │               └─Projection_298	32097576.63	mpp[tiflash]		tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost
            │             │                 └─HashJoin_297	32097576.63	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]
            │             │                   ├─ExchangeReceiver_289(Build)	400000.00	mpp[tiflash]		
            │             │                   │ └─ExchangeSender_288	400000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
            │             │                   │   └─TableFullScan_287	400000.00	mpp[tiflash]	table:s	keep order:false
            │             │                   └─TableFullScan_290(Probe)	32000000.00	mpp[tiflash]	table:ps	keep order:false
            │             └─TableFullScan_283(Probe)	400000.00	mpp[tiflash]	table:s	keep order:false
            └─TableReader_510(Probe)	4800000.00	root		MppVersion: 2, data:ExchangeSender_509
              └─ExchangeSender_509	4800000.00	mpp[tiflash]		ExchangeType: PassThrough
                └─Selection_427	4800000.00	mpp[tiflash]		gt(Column#170, 2266875.155335)
                  └─Projection_505	6000000.00	mpp[tiflash]		Column#169, Column#170, tpch_sf40.customer.c_custkey
                    └─HashAgg_506	6000000.00	mpp[tiflash]		group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#222)->Column#169, funcs:sum(Column#223)->Column#170, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, stream_count: 2
                      └─ExchangeReceiver_508	6000000.00	mpp[tiflash]		stream_count: 2
                        └─ExchangeSender_507	6000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2
                          └─HashAgg_503	6000000.00	mpp[tiflash]		group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:count(tpch_sf40.orders.o_orderkey)->Column#222, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#223
                            └─Projection_492	60000000.00	mpp[tiflash]		tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey
                              └─HashJoin_491	60000000.00	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2
                                ├─ExchangeReceiver_461(Build)	6000000.00	mpp[tiflash]		stream_count: 2
                                │ └─ExchangeSender_460	6000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2
                                │   └─TableFullScan_459	6000000.00	mpp[tiflash]	table:c	keep order:false
                                └─ExchangeReceiver_464(Probe)	60000000.00	mpp[tiflash]		
                                  └─ExchangeSender_463	60000000.00	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]
                                    └─TableFullScan_462	60000000.00	mpp[tiflash]	table:o	keep order:false
