-- Query: 12982
-- Execution time: .105091873s

id	estRows	task	access object	operator info
Projection_8	10.00	root		tpch_sf40.lineitem.l_suppkey, Column#17
└─TopN_12	10.00	root		Column#17:desc, offset:0, count:10
  └─TableReader_61	10.00	root		MppVersion: 2, data:ExchangeSender_60
    └─ExchangeSender_60	10.00	mpp[tiflash]		ExchangeType: PassThrough
      └─TopN_59	10.00	mpp[tiflash]		Column#17:desc, offset:0, count:10
        └─Projection_55	60650.75	mpp[tiflash]		Column#17, tpch_sf40.lineitem.l_suppkey
          └─HashAgg_56	60650.75	mpp[tiflash]		group by:tpch_sf40.lineitem.l_suppkey, funcs:sum(Column#24)->Column#17, funcs:firstrow(tpch_sf40.lineitem.l_suppkey)->tpch_sf40.lineitem.l_suppkey, stream_count: 2
            └─ExchangeReceiver_58	60650.75	mpp[tiflash]		stream_count: 2
              └─ExchangeSender_57	60650.75	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_suppkey, collate: binary], stream_count: 2
                └─HashAgg_53	60650.75	mpp[tiflash]		group by:Column#27, funcs:sum(Column#26)->Column#24
                  └─Projection_62	36503281.15	mpp[tiflash]		mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#26, tpch_sf40.lineitem.l_suppkey->Column#27
                    └─TableFullScan_41	36503281.15	mpp[tiflash]	table:lineitem	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01), lt(tpch_sf40.lineitem.l_shipdate, 1997-12-31), keep order:false
