-- Query: 27952
-- Source: SQLStorm v1.0 query 8890

id	estRows	estCost	task	access object	operator info
Sort_60	100.00	5811065935.17	root		tpch_sf40.region.r_name, Column#88:desc
└─Projection_62	100.00	5811028762.26	root		tpch_sf40.region.r_name, Column#69, Column#70, Column#88, Column#89, Column#110, Column#111
  └─Projection_64	100.00	5811028587.61	root		Column#69, Column#70, tpch_sf40.region.r_name, Column#88, Column#89, Column#110, Column#111
    └─HashJoin_68	100.00	5811028412.96	root		CARTESIAN inner join
      ├─TableReader_143(Build)	4.00	2879023580.20	root		MppVersion: 2, data:ExchangeSender_142
      │ └─ExchangeSender_142	4.00	5758046025.20	mpp[tiflash]		ExchangeType: PassThrough
      │   └─HashJoin_138	4.00	5758046024.91	mpp[tiflash]		inner join, equal:[eq(Column#69, tpch_sf40.customer.c_nationkey)]
      │     ├─ExchangeReceiver_95(Build)	4.00	32268760.74	mpp[tiflash]		
      │     │ └─ExchangeSender_94	4.00	32267884.74	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
      │     │   └─Selection_71	4.00	32267884.74	mpp[tiflash]		gt(Column#69, 10)
      │     │     └─Projection_90	5.00	32267872.74	mpp[tiflash]		Column#69, Column#70, tpch_sf40.region.r_name
      │     │       └─HashAgg_91	5.00	32267872.56	mpp[tiflash]		group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.nation.n_nationkey)->Column#69, funcs:sum(Column#112)->Column#70, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2
      │     │         └─ExchangeReceiver_93	5.00	32267749.37	mpp[tiflash]		stream_count: 2
      │     │           └─ExchangeSender_92	5.00	32267384.37	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2
      │     │             └─HashAgg_73	5.00	32267384.37	mpp[tiflash]		group by:tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, funcs:sum(tpch_sf40.supplier.s_acctbal)->Column#112
      │     │               └─Projection_89	399988.00	30337743.14	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_acctbal
      │     │                 └─HashJoin_88	399988.00	30323343.57	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]
      │     │                   ├─ExchangeReceiver_82(Build)	25.00	1147289.82	mpp[tiflash]		
      │     │                   │ └─ExchangeSender_81	25.00	1144814.82	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
      │     │                   │   └─Projection_80	25.00	1144814.82	mpp[tiflash]		tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey
      │     │                   │     └─HashJoin_75	25.00	1144814.22	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]
      │     │                   │       ├─ExchangeReceiver_78(Build)	5.00	563313.81	mpp[tiflash]		
      │     │                   │       │ └─ExchangeSender_77	5.00	562881.21	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
      │     │                   │       │   └─TableFullScan_76	5.00	562881.21	mpp[tiflash]	table:r	keep order:false
      │     │                   │       └─TableFullScan_79(Probe)	25.00	581450.00	mpp[tiflash]	table:n	keep order:false
      │     │                   └─TableFullScan_83(Probe)	400000.00	28536000.00	mpp[tiflash]	table:s	keep order:false
      │     └─Projection_109(Probe)	25.00	5725777212.90	mpp[tiflash]		Column#110, Column#111, tpch_sf40.customer.c_nationkey
      │       └─HashAgg_110	25.00	5725777212.00	mpp[tiflash]		group by:tpch_sf40.customer.c_nationkey, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#110, funcs:sum(Column#114)->Column#111, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, stream_count: 2
      │         └─ExchangeReceiver_112	25.00	5725776894.70	mpp[tiflash]		stream_count: 2
      │           └─ExchangeSender_111	25.00	5725775494.70	mpp[tiflash]		ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2
      │             └─HashAgg_97	25.00	5725775494.70	mpp[tiflash]		group by:tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#114
      │               └─Projection_108	60000000.00	5436335297.70	mpp[tiflash]		tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice
      │                 └─HashJoin_107	60000000.00	5434175297.70	mpp[tiflash]		inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]
      │                   ├─ExchangeReceiver_101(Build)	6000000.00	924580000.00	mpp[tiflash]		
      │                   │ └─ExchangeSender_100	6000000.00	348580000.00	mpp[tiflash]		ExchangeType: Broadcast, Compression: FAST
      │                   │   └─TableFullScan_99	6000000.00	348580000.00	mpp[tiflash]	table:c	keep order:false
      │                   └─TableFullScan_102(Probe)	60000000.00	4400795297.70	mpp[tiflash]	table:o	keep order:false
      └─TableReader_382(Probe)	25.00	2932002409.21	root		MppVersion: 2, data:ExchangeSender_381
        └─ExchangeSender_381	25.00	5864000418.42	mpp[tiflash]		ExchangeType: PassThrough
          └─Projection_377	25.00	5864000418.42	mpp[tiflash]		div(Column#88, cast(case(eq(Column#135, 0), 1, Column#135), decimal(20,0) BINARY))->Column#88, Column#89
            └─HashAgg_378	25.00	5864000388.12	mpp[tiflash]		group by:tpch_sf40.part.p_brand, funcs:sum(Column#136)->Column#135, funcs:sum(Column#137)->Column#88, funcs:sum(Column#138)->Column#89, stream_count: 2
              └─ExchangeReceiver_380	25.00	5864000050.82	mpp[tiflash]		stream_count: 2
